Keyword status,Keyword,Match type,Ad group,Status,Status reasons,Conversions,Currency code,Cost / conv.,Clicks,Impr.,CTR,Avg. CPC,Cost,Quality Score (hist.),Exp. CTR (hist.),Landing page exp. (hist.),Ad relevance (hist.),Conv. rate
Enabled,[b2b commerce platform],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,16,299,5.35%,48.96,783.38,3,Below average,Below average,Above average,0.00%
Enabled,[unified commerce platform],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,29,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[headless b2b ecommerce],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,4,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[multi-location inventory management],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,1,43,2.33%,74.19,74.19,5,Average,Below average,Above average,0.00%
Enabled,[b2b ecommerce services],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,1,29,3.45%,59.11,59.11,5,Average,Below average,Above average,0.00%
Enabled,[unified commerce],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,8,158,5.06%,46.59,372.68,3,Below average,Below average,Above average,0.00%
Enabled,[b2b ecommerce system],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,2,32,6.25%,45.26,90.51,3,Below average,Below average,Above average,0.00%
Enabled,[top b2b ecommerce platforms],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,1,57,1.75%,28.53,28.53,3,Below average,Below average,Above average,0.00%
Enabled,[b2b ecommerce integration],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,0,25,0.00%,0,0,3,Below average,Below average,Above average,0.00%
Enabled,[b2b commerce solution],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,1,USD,226.26,4,49,8.16%,56.56,226.26,3,Below average,Below average,Above average,25.00%
Enabled,[b2b commerce software],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,8,132,6.06%,30.78,246.22,3,Below average,Below average,Above average,0.00%
Enabled,[best b2b ecommerce platforms],Exact match,B2B EComm,Not eligible,campaign paused; ad group paused,0,USD,0,6,120,5.00%,30.86,185.15,3,Below average,Below average,Above average,0.00%
