campaign_name,ad_group_name,ad_group_id,keyword,match_type
Search - NonBrand,B2B EComm,181971021539,cart,BROAD
Search - NonBrand,B2B EComm,181971021539,marketplace,BROAD
Search - NonBrand,B2B EComm,181971021539,what,BROAD
Search - NonBrand,B2B EComm,181971021539,marketplaces,BROAD
Search - NonBrand,B2B EComm,181971021539,b2c,BROAD
Search - NonBrand,B2B EComm,181971021539,ecplaza,BROAD
Search - NonBrand,B2B EComm,181971021539,b2b marketplace,EXACT
Search - NonBrand,B2B EComm,181971021539,syncee,BROAD
Search - NonBrand,B2B EComm,181971021539,marketplace global,EXACT
Search - NonBrand,B2B EComm,181971021539,global trade plaza,EXACT
Search - NonBrand,B2B EComm,181971021539,wholesale marketplace for retailers,EXACT
Search - NonBrand,B2C EComm,181971021579,developers,BROAD
Search - NonBrand,B2C EComm,181971021579,b2b,BROAD
Search - NonBrand,B2C EComm,181971021579,https,BROAD
Search - NonBrand,B2C EComm,181971021579,avex,BROAD
Search - NonBrand,B2C EComm,181971021579,cs cart,EXACT
Search - NonBrand,B2C EComm,181971021579,seller center,EXACT
Search - NonBrand,B2C EComm,181971021579,us direct ecommerce ltd,EXACT
Search - NonBrand,B2C EComm,181971021579,commerce 7,EXACT
Search - NonBrand,B2C EComm,181971021579,commerce com inc,EXACT
Search - NonBrand,B2B Other Keywords,181971021739,b2c,BROAD
Search - NonBrand,B2B Other Keywords,181971021739,quailhq,BROAD
Search - NonBrand,OMS,181971021779,how,BROAD
Search - NonBrand,OMS,181971021779,order processing,EXACT
Search - NonBrand,OMS,181971021779,business process integration,EXACT
Search - NonBrand,OMS,181971021779,purchase order,EXACT
Search - NonBrand,OMS,181971021779,create an order form,EXACT
Search - NonBrand,OMS,181971021779,order entry,EXACT
Search - NonBrand,OMS,181971021779,wms software,EXACT
Search - NonBrand,OMS,181971021779,pos systems,EXACT
Search - NonBrand,OMS,181971021779,stocky,EXACT
Search - NonBrand,OMS,181971021779,order forms,EXACT
Search - NonBrand,OMS,181971021779,crunchtime,EXACT
Search - NonBrand,OMS,181971021779,how to create a purchase order,EXACT
Search - NonBrand,OMS,181971021779,x cart,EXACT
Search - NonBrand,OMS,181971021779,stord,EXACT
Search - NonBrand,OMS,181971021779,procurement system,EXACT
Search - NonBrand,OMS,181971021779,olo,EXACT
Search - NonBrand,OMS,181971021779,oracle order management,EXACT
Search - NonBrand,OMS,181971021779,open source point of sale,EXACT
Search - NonBrand,OMS,181971021779,cs cart,EXACT
Search - NonBrand,OMS,181971021779,odoo,EXACT
Search - NonBrand,OMS,181971021779,gestion des stock,EXACT
Search - NonBrand,OMS,181971021779,delivery management software,EXACT
Search - NonBrand,OMS,181971021779,sap order management,EXACT
Search - NonBrand,OMS,181971021779,how to create an order form,EXACT
Search - NonBrand,OMS,181971021779,track and trace system,EXACT
Search - NonBrand,OMS,181971021779,restaurant online ordering system,EXACT
Search - NonBrand,OMS,181971021779,inventura,EXACT
Search - NonBrand,OMS,181971021779,manhattan wms,EXACT
