search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,expected_ad_group,actual_ad_group,issue_type,priority,recommendation
b2b oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b oms] as negative to [OMS] to route to [B2B EComm]
b2b online ordering system,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,7,1,33.13,0.0,0.0,14.29,33.13,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b online ordering system] as negative to [OMS] to route to [B2B EComm]
b2b order management,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,11,2,148.12,0.0,0.0,18.18,74.06,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order management] as negative to [OMS] to route to [B2B EComm]
b2b order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,12,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order management software] as negative to [OMS] to route to [B2B EComm]
b2b order management system,ADDED,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,10,1,72.23,0.0,0.0,10.0,72.23,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order management system] as negative to [OMS] to route to [B2B EComm]
b2b order platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order platform] as negative to [OMS] to route to [B2B EComm]
b2b order software,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order software] as negative to [OMS] to route to [B2B EComm]
b2b order taking software,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,3,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order taking software] as negative to [OMS] to route to [B2B EComm]
b2b ordering platform,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,18,1,32.18,0.0,0.0,5.56,32.18,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b ordering platform] as negative to [OMS] to route to [B2B EComm]
b2b ordering software,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b ordering software] as negative to [OMS] to route to [B2B EComm]
b2b ordering system,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,2,1,70.49,0.0,0.0,50.0,70.49,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b ordering system] as negative to [OMS] to route to [B2B EComm]
b2b ordering systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b ordering systems] as negative to [OMS] to route to [B2B EComm]
b2b sales management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b sales management system] as negative to [OMS] to route to [B2B EComm]
b2b sales order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,b2b order management system,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b sales order management software] as negative to [OMS] to route to [B2B EComm]
b2b order management,NONE,22740783748,Search - NonBrand,181971021779,OMS,order management system for b2b,EXACT,2,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order management] as negative to [OMS] to route to [B2B EComm]
b2b order management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,order management system for b2b,EXACT,4,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order management software] as negative to [OMS] to route to [B2B EComm]
b2b order taking software,NONE,22740783748,Search - NonBrand,181971021779,OMS,order management system for b2b,EXACT,1,0,0.0,0.0,0.0,0.0,0,False,B2B EComm,OMS,INTENT_MISMATCH,LOW,Consider adding [b2b order taking software] as negative to [OMS] to route to [B2B EComm]
