search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term
k i b o,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,False
kibo commerce b2b,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,2,1,9.96,0.0,0.0,50.0,9.96,True
kibo digital,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,4,0,0.0,0.0,0.0,0.0,0,True
kibo inc,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,3,0,0.0,0.0,0.0,0.0,0,True
kibo platform,ADDED,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,True
kibo retail,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,True
kibo services,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,1,0,0.0,0.0,0.0,0.0,0,True
kibo site,EXCLUDED,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,2,0,0.0,0.0,0.0,0.0,0,True
kibo unified commerce,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,2,1,12.77,0.0,0.0,50.0,12.77,True
kibo us,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo platform,EXACT,3,0,0.0,0.0,0.0,0.0,0,True
kibo co,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,1,0,0.0,0.0,0.0,0.0,0,True
kibo commerce,ADDED,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,1147,236,761.65,1.0,1.0,20.58,3.23,True
kibo fulfillment,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,2,1,5.09,0.0,0.0,50.0,5.09,True
kibo ide,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,1,0,0.0,0.0,0.0,0.0,0,True
kibo product,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,6,0,0.0,0.0,0.0,0.0,0,True
kibo services,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,4,0,0.0,0.0,0.0,0.0,0,True
kibocommerce,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo commerce,EXACT,1,0,0.0,0.0,0.0,0.0,0,True
kibo ecommerce,ADDED,19534321347,Search - Brand,143748213014,Kibo,kibo ecommerce,EXACT,119,29,82.16,0.0,0.0,24.37,2.83,True
kibo en ligne,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo ecommerce,EXACT,2,1,14.31,0.0,0.0,50.0,14.31,True
kibo fulfillment,NONE,19534321347,Search - Brand,143748213014,Kibo,kibo ecommerce,EXACT,2,0,0.0,0.0,0.0,0.0,0,True
