search_term,status,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword_text,match_type,impressions,clicks,cost,conversions,conversion_value,ctr,cpc,is_brand_term,routing_status,routing_reason,natural_intent,blocked_from
asp net warehouse management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
blue yonder wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,3,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
extensiv warehouse management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,OMS
fulfil wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
inventory and warehouse management,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
it wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
logiwa api,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
modula wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
oms wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,1,93.68,0.0,0.0,100.0,93.68,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
order fulfilment software,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
order picking solutions,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
rf smart wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
sap ewm,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
sap ewm mfs,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,3,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
skubana inventory management,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,OMS
software for warehouse inventory management,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
tecsys wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
warehouse control systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
warehouse inventory management,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehouse management for open systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehouse management software,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehouse management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,18,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehouse management system softwares,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehouse management systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,3,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
warehousing systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
what are some warehouse management systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,B2B EComm
what is mintsoft,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,"B2B EComm, OMS"
what is wms in supply chain,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,B2B EComm
windfall warehouse,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
wms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,11,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
wms blue yonder,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
wms for warehouse,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
wms stord,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
wms stord com,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,1,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,OMS
wms systems,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,5,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
wms warehouse management system,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
xlwms,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,NO_CLEAR_INTENT,No strong theme match detected,UNCLEAR,
zoho warehouse management,NONE,22740783748,Search - NonBrand,181971021779,OMS,warehouse order management system,PHRASE,2,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,
enterprise oms,NONE,22740783748,Search - NonBrand,181971021779,OMS,enterprise order management system,EXACT,8,0,0.0,0.0,0.0,0.0,0,False,CORRECT_BY_INTENT,Term matches OMS theme,OMS,NB - General B2B
